test_name,total_runs,passed,failed,label
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerTlsVerifyCustomConfiguration(configuration: ""docker.tls.verify=FALSE"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerEndpointAuthenticationProviderTest.AuthProviderShouldBeApplicable(authProvider: MTlsEndpointAuthenticationProvider { LastException = null }, isApplicable: False)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersWaitStrategyTest+Timeout.After100MsWhile,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetRyukContainerImageCustomConfiguration(propertyName: ""TESTCONTAINERS_RYUK_CONTAINER_IMAGE"", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerTlsVerifyCustomConfiguration(configuration: ""docker.tls.verify=true"", expected: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersContainerTest+WithConfiguration.PullDigest,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.CombineReferenceTypes(oldValue: null, newValue: ""B"", expected: ""B"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerAuthConfigCustomConfiguration(configuration: ""docker.auth.config={\""auths\"":null}"", expected: ""{\""auths\"":null}"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromHubImageNamePrefix(repository: ""baz/foo/bar"", tag: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""myregistry.azurecr.io/foo/bar/baz:1.0.0"", Platform = null, Registry = ""myregistry.azurecr.io"", Repository = ""foo/bar/baz"", ··· } }, image: ""myregistry.azurecr.io/foo/bar/baz:1.0.0"", fullName: ""myregistry.azurecr.io/foo/bar/baz:1.0.0"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerEndpointAuthenticationProviderTest.AuthConfigShouldGetDockerClientEndpoint(authConfig: DotNet.Testcontainers.Configurations.DockerEndpointAuthenticationConfiguration, dockerClientEndpoint: unix:///var/run/docker.sock)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""lipsum/lorem/lipsum/temp"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: "".git/refs/heads/main"", expected: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.GuardTest+StringPreconditions+ThrowArgumentException.IfNotEmpty,100,100,0,stable
DotNet.Testcontainers.Tests.Unit.WaitUntilMessageIsLoggedTest.ContainerIsRunning,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetRyukContainerPrivilegedCustomConfiguration(configuration: """", expected: null)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersVolumeTest.WithVolumeMount,100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersContainerTest+WithConfiguration.BindMountAndCommand,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerAuthConfigCustomConfiguration(configuration: ""docker.auth.config={}"", expected: ""{}"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerTlsCustomConfiguration(propertyName: """", propertyValue: """", expected: False)",100,100,0,stable
